Metabolite,HMDB ID,ref,primary,recurrent
SM(OH) C14:1,HMDB0013462,0.019,8.9089,6.7613
SM C16:1,HMDB0240613,0.0275,21.8026,16.0524
SM C16:0,HMDB0010169,0.1022,135.108,105.1296
SM(OH) C16:1,HMDB0013463,0.0315,5.217,4.5537
SM C18:1,"HMDB0012100, HMDB0012101",0.033,15.2505,13.3689
PC aa C32:2,"HMDB0007874, HMDB0008002",0.0742,5.3488,4.8534
SM C18:0,HMDB0001348,0.1274,32.9457,28.825
SM C20:2,HMDB0013465,0.0071,0.6812,0.7303
PC ae C36:0,"HMDB0013406, HMDB0013417",0.0477,1.7453,1.2327
PC aa C36:6,"HMDB0008690, HMDB0007892",0.0332,0.9824,0.7034
PC aa C36:0,"HMDB0007886, HMDB0007977",0.1586,8.096,5.6973
SM(OH) C22:2,HMDB0013467,0.0208,12.2147,10.1588
SM(OH) C22:1,HMDB0013466,0.0227,15.1639,12.9669
PC aa C38:6,"HMDB0007991, HMDB0008083",0.0545,68.312,36.4199
PC aa C38:0,"HMDB0007893, HMDB0007985",0.0369,2.5864,1.6411
PC ae C40:6,HMDB0013422,0.0358,3.9217,2.6855
SM(OH) C24:1,HMDB0013469,0.0211,2.4736,1.6345
PC aa C40:6,"HMDB0008057, HMDB0008089",0.047,21.5061,11.7128
PC aa C40:2,"HMDB0008688, HMDB0008276",0.0174,0.3782,0.2557
PC aa C40:1,"HMDB0007993, HMDB0008052",0.0194,0.2799,0.2338
C0,HMDB0000062,0.2216,35.0685,39.3795
C2,HMDB0000201,0.1347,7.6091,7.0669
C3:1,HMDB0013124,0.0256,0.0307,0.0326
C3,HMDB0000824,0.0824,0.3164,0.2196
C4:1,HMDB0013126,0.024,0.0631,0.0813
C4,HMDB0002013,0.0486,0.118,0.178
C5:1,HMDB0002366,0.0305,0.0361,0.0466
C5,HMDB0013128,0.0256,0.0886,0.1275
C4OH,HMDB0013127,0.0237,0.0611,0.0738
C6:1,HMDB0013161,0.0247,0.0784,0.0957
C5OH,HMDB0013132,0.0341,0.0525,0.0682
C5:1DC,HMDB0013129,0.025,0.0679,0.0612
C5DC,HMDB0013130,0.0191,0.0301,0.0275
C8,HMDB0000791,0.0316,0.1871,0.1265
C5MDC,HMDB0000552,0.0218,0.0522,0.031
C9,HMDB0006320,0.011,0.1013,0.0955
C7DC,HMDB0013328,0.02,0.088,0.0825
C10:2,"HMDB0241102, HMDB0241094",0.049,0.0783,0.0797
C10,HMDB0000651,0.0585,0.3317,0.1633
C12,HMDB0002250,0.0443,0.3687,0.05
C14:2,HMDB0013331,0.0519,0.0903,0.0575
C14,HMDB0005066,0.032,0.483,0.1811
C12DC,HMDB0013327,0.0148,0.1372,0.0338
C16:1,HMDB0013207,0.0201,0.3887,0.0679
C16,HMDB0000222,0.0265,0.339,0.1385
C18:2,HMDB0006469,0.0581,0.1207,0.0941
C18:1,HMDB0006464,0.0411,0.298,0.1577
C18,HMDB0000848,0.0237,0.109,0.0326
PC aa C24:0,NA,0.0767,0.1317,0.134
PC aa C26:0,NA,0.0905,0.5755,0.6649
PC aa C28:1,"HMDB0007867, HMDB0007899",0.0278,4.04,3.4258
PC ae C30:2,HMDB0013410,0.0287,0.1474,0.0873
PC ae C30:1,"HMDB0013402, HMDB0013403",0.0364,2.8259,2.118
PC ae C30:0,HMDB0013341,0.0959,0.5777,0.6044
PC aa C30:0,"HMDB0007869, HMDB0007934, HMDB0007965",0.1079,5.6061,4.6671
PC ae C32:2,HMDB0013411,0.0387,1.1184,0.8366
PC ae C32:1,HMDB0013404,0.0365,4.1195,3.2501
PC aa C32:3,"HMDB0007875, HMDB0007876, HMDB0007907, HMDB0008131, HMDB0008163, HMDB0008196",0.0203,0.6872,0.6738
PC aa C32:1,"HMDB0007872, HMDB0007873, HMDB0007904, HMDB0007969, HMDB0008001, HMDB0008032, HMDB0008064, HMDB0008097",0.0586,25.0679,24.533
PC aa C32:0,"HMDB0000564, HMDB0007871, HMDB0008031",0.0674,14.425,11.8995
PC ae C34:3,HMDB0013413,0.026,10.8702,7.3558
PC ae C34:2,HMDB0011151,0.0334,15.2223,11.13
PC ae C34:1,"HMDB0013412, HMDB0013424, HMDB0013426",0.0373,9.4788,8.9502
PC ae C34:0,HMDB0013405,0.0731,2.1499,1.9171
PC aa C34:4,"HMDB0007883, HMDB0007884, HMDB0007914, HMDB0007915, HMDB0007976, HMDB0008007, HMDB0008008, HMDB0008167, HMDB0008200, HMDB0008232, HMDB0008362, HMDB0008395, HMDB0008426, HMDB0008459",0.042,1.8461,1.9772
PC aa C34:3,"HMDB0007881, HMDB0007882, HMDB0007913, HMDB0007974, HMDB0007975, HMDB0008006, HMDB0008134, HMDB0008166, HMDB0008199, HMDB0008329, HMDB0008361, HMDB0008394",0.0537,21.7764,19.0423
PC aa C34:2,"HMDB0007880, HMDB0007912, HMDB0007973, HMDB0008004, HMDB0008005, HMDB0008068, HMDB0008101, HMDB0008133, HMDB0008296, HMDB0008328",0.2894,529.3868,461.1553
PC aa C34:1,"HMDB0007879, HMDB0007911, HMDB0007971, HMDB0007972, HMDB0008003, HMDB0008035, HMDB0008067, HMDB0008100, HMDB0008263, HMDB0008295",0.4369,269.9452,245.6221
PC ae C36:5,"HMDB0013415, HMDB0039528",0.0316,12.1816,10.0222
PC ae C36:4,"HMDB0013407, HMDB0013435",0.0256,18.0577,16.5829
PC ae C36:3,"HMDB0013425, HMDB0013429, HMDB0039527",0.0139,11.7217,8.3755
PC ae C36:2,"HMDB0013418, HMDB0013428",0.022,17.3265,13.5861
PC ae C36:1,"HMDB0013414, HMDB0013427",0.0468,9.9139,7.9602
PC aa C36:5,"HMDB0007890, HMDB0007891, HMDB0007922, HMDB0007984, HMDB0008015, HMDB0008016, HMDB0008075, HMDB0008108, HMDB0008140, HMDB0008141, HMDB0008171, HMDB0008204, HMDB0008235, HMDB0008236, HMDB0008430, HMDB0008463, HMDB0008495, HMDB0008624, HMDB0008656, HMDB0008689",0.06,16.4211,15.0347
PC aa C36:4,"HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623",0.1464,172.9487,170.8455
PC aa C36:3,"HMDB0007921, HMDB0007980, HMDB0007981, HMDB0008012, HMDB0008040, HMDB0008041, HMDB0008072, HMDB0008105, HMDB0008136, HMDB0008137, HMDB0008168, HMDB0008201, HMDB0008332, HMDB0008364, HMDB0008397, HMDB0008591",0.1283,163.2313,138.7234
PC aa C36:2,"HMDB0000593, HMDB0007888, HMDB0007920, HMDB0007979, HMDB0008011, HMDB0008039, HMDB0008070, HMDB0008071, HMDB0008103, HMDB0008135, HMDB0008299, HMDB0008331, HMDB0008559, HMDB0008590",0.1206,322.6948,249.6861
PC aa C36:1,"HMDB0007887, HMDB0007919, HMDB0007978, HMDB0008010, HMDB0008037, HMDB0008038, HMDB0008069, HMDB0008102, HMDB0008266, HMDB0008298, HMDB0008526, HMDB0008558",0.1228,84.7603,64.8459
PC ae C38:6,HMDB0013409,0.0393,7.0732,5.0511
PC ae C38:5,HMDB0013432,0.0155,15.2766,14.874
PC ae C38:4,HMDB0013420,0.0333,12.6811,13.3665
PC ae C38:3,"HMDB0013439, HMDB0013440",0.0314,5.1228,4.6634
PC ae C38:2,"HMDB0013431, HMDB0013436",0.0403,6.0743,4.8757
PC ae C38:1,"HMDB0013416, HMDB0013430",0.0361,5.9069,4.6598
PC ae C38:0,"HMDB0013408, HMDB0013419",0.0248,2.2469,1.3683
PC aa C38:5,"HMDB0007989, HMDB0007990, HMDB0008021, HMDB0008050, HMDB0008081, HMDB0008082, HMDB0008114, HMDB0008115, HMDB0008139, HMDB0008146, HMDB0008177, HMDB0008210, HMDB0008242, HMDB0008306, HMDB0008337, HMDB0008338, HMDB0008369, HMDB0008402, HMDB0008432, HMDB0008433, HMDB0008465, HMDB0008466, HMDB0008497, HMDB0008627, HMDB0008659, HMDB0008692",0.0732,51.9936,43.6342
PC aa C38:4,"HMDB0007988, HMDB0008048, HMDB0008049, HMDB0008079, HMDB0008080, HMDB0008112, HMDB0008113, HMDB0008145, HMDB0008176, HMDB0008209, HMDB0008241, HMDB0008273, HMDB0008304, HMDB0008305, HMDB0008336, HMDB0008367, HMDB0008368, HMDB0008400, HMDB0008401, HMDB0008431, HMDB0008464, HMDB0008626",0.07,99.3641,93.2354
PC aa C38:3,"HMDB0008020, HMDB0008046, HMDB0008047, HMDB0008078, HMDB0008111, HMDB0008144, HMDB0008175, HMDB0008208, HMDB0008271, HMDB0008272, HMDB0008303, HMDB0008334, HMDB0008335, HMDB0008366, HMDB0008399, HMDB0008594",0.0233,63.755,52.6967
SM C24:1,HMDB0012107,0.0248,64.555,53.5398
SM C24:0,HMDB0011697,0.0484,22.8822,19.4741
PC aa C38:1,"HMDB0007894, HMDB0007926, HMDB0007986, HMDB0008018, HMDB0008044, HMDB0008076, HMDB0008109, HMDB0008268, HMDB0008269, HMDB0008300, HMDB0008529, HMDB0008561, HMDB0008756, HMDB0008788",0.0449,9.0763,7.26
PC ae C40:5,HMDB0013444,0.0123,2.7489,2.7118
PC ae C40:4,HMDB0013442,0.0266,1.9813,1.9293
PC ae C40:3,"HMDB0013445, HMDB0013446",0.0226,1.0915,0.9652
PC ae C40:2,HMDB0013437,0.0343,1.6553,1.0789
PC ae C40:1,HMDB0013433,0.0173,1.8861,1.1796
PC aa C40:5,"HMDB0008055, HMDB0008056, HMDB0008087, HMDB0008120, HMDB0008185, HMDB0008218, HMDB0008250, HMDB0008281, HMDB0008312, HMDB0008313, HMDB0008343, HMDB0008344, HMDB0008375, HMDB0008407, HMDB0008439, HMDB0008472, HMDB0008504, HMDB0008568, HMDB0008599, HMDB0008600, HMDB0008629, HMDB0008630, HMDB0008661, HMDB0008694",0.026,11.094,9.0481
PC aa C40:4,"HMDB0008054, HMDB0008152, HMDB0008184, HMDB0008217, HMDB0008249, HMDB0008279, HMDB0008280, HMDB0008310, HMDB0008311, HMDB0008342, HMDB0008374, HMDB0008438, HMDB0008471, HMDB0008536, HMDB0008566, HMDB0008567, HMDB0008598, HMDB0008628, HMDB0011201",0.0205,4.1265,3.7481
PC aa C40:3,"HMDB0008086, HMDB0008119, HMDB0008151, HMDB0008183, HMDB0008216, HMDB0008277, HMDB0008278, HMDB0008309, HMDB0008341, HMDB0008373, HMDB0008406, HMDB0008534, HMDB0008535, HMDB0008565, HMDB0008596, HMDB0008597",0.0326,0.6729,0.5772
SM C26:1,HMDB0013461,0.0293,0.5117,0.4672
SM C26:0,HMDB0011698,0.0201,0.354,0.2715
PC ae C42:5,HMDB0013451,0.0275,0.8446,0.8902
PC ae C42:4,"HMDB0013448, HMDB0013454",0.0133,0.6816,0.6653
PC ae C42:3,"HMDB0013458, HMDB0013459",0.0436,0.6242,0.4757
PC ae C42:2,HMDB0013438,0.0394,0.4555,0.341
PC ae C42:1,"HMDB0013434, HMDB0013447",0.0288,0.3756,0.2427
PC ae C42:0,"HMDB0013423, HMDB0013443",0.0398,0.1873,0.1697
PC aa C42:6,"HMDB0008288, HMDB0008319, HMDB0008320, HMDB0008351, HMDB0008448, HMDB0008481, HMDB0008513, HMDB0008576, HMDB0008607, HMDB0008608, HMDB0008637, HMDB0008669, HMDB0008702, HMDB0008734",0.036,0.2191,0.231
PC aa C42:5,"HMDB0008257, HMDB0008286, HMDB0008287, HMDB0008318, HMDB0008383, HMDB0008415, HMDB0008447, HMDB0008480, HMDB0008512, HMDB0008544, HMDB0008574, HMDB0008575, HMDB0008605, HMDB0008606, HMDB0008636, HMDB0008668, HMDB0008701, HMDB0008799",0.0181,0.2191,0.2099
PC aa C42:4,"HMDB0008191, HMDB0008224, HMDB0008256, HMDB0008285, HMDB0008350, HMDB0008382, HMDB0008414, HMDB0008446, HMDB0008479, HMDB0008542, HMDB0008543, HMDB0008572, HMDB0008573, HMDB0008604, HMDB0008635, HMDB0008766, HMDB0008797, HMDB0008798",0.0186,0.1352,0.1664
PC aa C42:2,"HMDB0008092, HMDB0008125, HMDB0008157, HMDB0008284, HMDB0008316, HMDB0008348, HMDB0008539, HMDB0008570, HMDB0008602, HMDB0008763, HMDB0008794, HMDB0008795",0.0229,0.1582,0.0893
PC aa C42:1,"HMDB0008059, HMDB0008091, HMDB0008124, HMDB0008283, HMDB0008315, HMDB0008538, HMDB0008569, HMDB0008761, HMDB0008762, HMDB0008793",0.0517,0.1808,0.1559
PC aa C42:0,"HMDB0008058, HMDB0008282, HMDB0008537, HMDB0008760",0.0337,0.3138,0.237
PC ae C44:6,"HMDB0013450, HMDB0013457",0.0414,0.5316,0.6304
PC ae C44:5,HMDB0013456,0.0219,0.7198,0.757
PC ae C44:4,"HMDB0013453, HMDB0013455, HMDB0013460",0.0215,0.2695,0.2975
PC ae C44:3,"HMDB0013449, HMDB0013452",0.0374,0.1217,0.1055
Cer(d16:1/20:0),NA,0.0245,0.0916,0.0403
Cer(d16:1/22:0),NA,0.0125,0.1697,0.0581
Cer(d16:1/24:0),NA,0.0185,0.0844,0.0778
Cer(d18:1/16:0),HMDB00790,0.032,0.8258,0.4732
Cer(d18:1/18:0),HMDB00829,0.0104,0.232,0.1934
Cer(d18:1/22:0),HMDB04952,0.0197,0.6674,0.4409
Cer(d18:1/23:0),HMDB00950,0.0262,0.4252,0.4101
Cer(d18:1/24:0),HMDB04956,0.0151,1.6226,1.1431
Cer(d18:1/24:1),HMDB04953,0.0329,0.5855,0.6022
Cer(d18:1/25:0),HMDB04957,0.1196,0.158,0.3172
Cer(d18:2/22:0),NA,0.0101,0.1141,0.0403
Cer(d18:2/24:0),NA,0.0104,0.3584,0.1143
Cer(d18:2/24:1),HMDB0240680,0.014,0.1737,0.1326
Cer(d18:0/20:0),HMDB11764,0.0229,0.0387,0.0312
Cer(d18:0/22:0),HMDB11765,0.0108,0.1753,0.0744
Cer(d18:0/24:0),HMDB11768,0.0106,0.1441,0.0261
Cer(d18:0/24:1),HMDB11769,0.0108,0.0526,0.033
CE(14:0),HMDB06725,0.2349,8.5982,7.4834
CE(14:1),HMDB10367,0.2421,1.1051,0.7236
CE(15:0),HMDB60057,0.1798,0.5886,1.1266
CE(15:1),HMDB60056,0.0759,0.7997,1.08
CE(16:0),HMDB05188,0.4345,116.1843,71.8217
CE(16:1),HMDB05197,0.5963,59.4132,34.5408
CE(17:0),HMDB60059,0.1264,2.3891,0.9235
CE(17:1),HMDB60060,0.2562,3.4117,2.4926
CE(18:0),HMDB10368,0.2317,12.4461,8.3055
CE(18:1),HMDB05191,0.368,328.9307,197.1769
CE(18:2),HMDB05192,0.5103,1335.378,771.6293
CE(18:3),HMDB10369,0.2176,62.3847,36.6237
CE(20:0),HMDB06740,0.2582,1.0215,0.4971
CE(20:1),HMDB05194,0.1435,0.7924,0.467
CE(20:3),HMDB06736,0.111,34.6003,19.5341
CE(20:4),HMDB06726,0.1106,225.8282,139.791
CE(20:5),HMDB06731,0.5128,24.3197,12.9765
CE(22:0),HMDB06727,0.2294,0.2717,0.4774
CE(22:5),HMDB10374,0.1137,3.9604,2.1906
CE(22:6),HMDB06733,0.064,23.6757,7.1496
DG(14:0_18:1),HMDB07014,0.0884,0.3124,0.2624
DG(14:0_18:2),HMDB07016,0.066,0.2654,0.3427
DG(14:0_20:0),HMDB07020,0.1281,0.3135,0.2757
DG(16:0_16:0),HMDB07098,0.18,7.3838,6.1081
DG(16:0_16:1),HMDB07099,0.0271,1.381,1.6169
DG(16:0_18:1),HMDB07101,0.027,2.5206,2.7784
DG(16:0_18:2),HMDB07103,0.0511,1.3175,1.5417
DG(16:0_20:0),HMDB07107,0.0338,0.9574,0.8523
DG(16:1_18:1),HMDB07130,0.1583,1.4827,1.3578
DG(16:1_18:2),HMDB07132,0.0965,0.6143,0.6058
DG(16:1_20:0),HMDB07136,0.0748,0.8345,0.8272
DG(17:0_17:1),NA,0.015,0.3304,0.1629
DG(17:0_18:1),HMDB0295723,0.0109,0.4943,0.3343
DG(18:1_18:1),HMDB07188,0.0356,4.7446,6.0789
DG(18:1_18:2),HMDB07190,0.0161,2.4443,3.5429
DG(18:1_18:3),HMDB07191,0.0212,0.5677,0.7771
DG(18:1_20:3),HMDB07197,0.0123,0.1695,0.1838
DG(18:1_20:4),HMDB07199,0.0109,0.305,0.2173
DG(18:1_22:6),HMDB07208,0.0674,0.4124,0.4902
DG(18:2_18:2),HMDB07248,0.0351,2.3299,3.0039
Hex2Cer(d18:1/14:0),NA,0.0067,0.1149,0.1268
Hex2Cer(d18:1/16:0),HMDB0006750,0.0143,2.1788,1.999
Hex2Cer(d18:1/18:0),HMDB0011591,0.0104,0.2298,0.1492
Hex2Cer(d18:1/20:0),HMDB0011593,0.0146,0.0766,0.1212
Hex2Cer(d18:1/22:0),HMDB0011594,0.0119,0.1685,0.2461
Hex2Cer(d18:1/24:0),HMDB0011595,0.0758,0.2566,0.1716
Hex2Cer(d18:1/24:1),HMDB04872,0.0124,0.4442,0.3953
Hex3Cer(d18:1/16:0),HMDB0004879,0.0154,0.0919,0.1343
Hex3Cer(d18:1/18:0),HMDB0004880,0.0136,0.046,0.0522
Hex3Cer(d18:1/24:1),HMDB0004883,0.0171,0.1197,0.0559
HexCer(d16:1/22:0),NA,0.0106,0.2987,0.3021
HexCer(d18:1/16:0),HMDB0004971,0.0279,1.0798,0.9174
HexCer(d18:1/18:0),HMDB0004972,0.018,0.5208,0.2014
HexCer(d18:1/18:1), HMDB0004970,0.0193,0.1101,0.1329
HexCer(d18:1/20:0),HMDB0004973,0.0109,0.2537,0.1585
HexCer(d18:1/22:0),HMDB0004974,0.0191,1.4475,0.9398
HexCer(d18:1/23:0),NA,0.0108,0.7352,0.6564
HexCer(d18:1/24:0),HMDB0004978,0.0327,2.8221,1.7827
HexCer(d18:1/24:1),     HMDB0004975,0.1045,1.256,1.1636
HexCer(d18:1/26:0),HMDB0004977,0.0371,0.4834,0.5291
HexCer(d18:1/26:1),HMDB0004976,0.0105,0.067,0.1538
HexCer(d18:2/16:0),NA,0.0103,0.0766,0.0597
HexCer(d18:2/18:0),NA,0.0124,0.0536,0.0149
HexCer(d18:2/20:0),NA,0.0111,0.0536,0.0746
HexCer(d18:2/22:0),NA,0.0109,0.2987,0.1716
HexCer(d18:2/23:0),NA,0.0107,0.1072,0.082
HexCer(d18:2/24:0),NA,0.0199,0.4518,0.358
TG(14:0_32:2),"HMDB0042076, HMDB0042280, HMDB0042281, HMDB0042309, HMDB0042338, HMDB0042368, HMDB0042511",0.1196,2.7567,4.3316
TG(14:0_34:0),"HMDB0042065, HMDB0042124, HMDB0042153, HMDB0042181, HMDB0099287, HMDB0099288, HMDB0099395, HMDB0099396, HMDB0099397, HMDB0099398, HMDB0099399, HMDB0099400, HMDB0099401, HMDB0099402, HMDB0099549, HMDB0099550, HMDB0099551, HMDB0099552, HMDB0099553, HMDB0099554, HMDB0099555, HMDB0099556, HMDB0099557, HMDB0099558, HMDB0099559, HMDB0099560, HMDB0099561, HMDB0099562, HMDB0099563, HMDB0099564, HMDB0099565, HMDB0099566, HMDB0099655, HMDB0099656, HMDB0099657, HMDB0099658, HMDB0099659, HMDB0099660, HMDB0099661, HMDB0099794, HMDB0099795, HMDB0099796, HMDB0099797, HMDB0099798, HMDB0099799, HMDB0099800, HMDB0099801, HMDB0099802, HMDB0099803, HMDB0099804, HMDB0099805, HMDB0099920, HMDB0099921, HMDB0099922, HMDB0099923, HMDB0099924, HMDB0099925, HMDB0099926, HMDB0100049, HMDB0100050, HMDB0100051, HMDB0100052, HMDB0100053, HMDB0100054, HMDB0100055, HMDB0100056, HMDB0100057, HMDB0100058, HMDB0100059, HMDB0100060, HMDB0100061, HMDB0100062, HMDB0100063, HMDB0100064, HMDB0100065, HMDB0100066, HMDB0100188, HMDB0100189, HMDB0100190, HMDB0100191, HMDB0100192, HMDB0100193, HMDB0100194, HMDB0100288, HMDB0100289, HMDB0100290, HMDB0100291, HMDB0100292, HMDB0100293, HMDB0100294, HMDB0100295, HMDB0100296, HMDB0100297, HMDB0100298, HMDB0100299, HMDB0100400, HMDB0100401, HMDB0100402, HMDB0100403, HMDB0100507, HMDB0100508, HMDB0100509, HMDB0100510, HMDB0100511, HMDB0100512, HMDB0100513, HMDB0100514, HMDB0100515, HMDB0100516, HMDB0100517, HMDB0100518, HMDB0100519, HMDB0100520, HMDB0100521, HMDB0100522, HMDB0100523, HMDB0100524, HMDB0100665, HMDB0100666, HMDB0100667, HMDB0100668, HMDB0100669, HMDB0100670, HMDB0100671, HMDB0100672, HMDB0100770, HMDB0100771",0.0583,2.8987,4.5802
TG(14:0_34:1),"HMDB0042072, HMDB0042130, HMDB0042131, HMDB0042159, HMDB0042188, HMDB0042275, HMDB0042304, HMDB0042333, HMDB0042363, HMDB0042391",0.1149,10.0617,16.2268
TG(14:0_34:2),"HMDB0042078, HMDB0042136, HMDB0042282, HMDB0042310, HMDB0042311, HMDB0042339, HMDB0042369, HMDB0042398, HMDB0042513, HMDB0042571",0.2496,8.1492,10.9903
TG(14:0_34:3),"HMDB0042073, HMDB0042079, HMDB0042137, HMDB0042144, HMDB0042288, HMDB0042316, HMDB0042421, HMDB0042519, HMDB0042543, HMDB0042578, HMDB0042601, HMDB0042753",0.0862,2.8388,4.0035
TG(14:0_35:1),"HMDB0042102, HMDB0042392",0.1106,1.5509,3.1505
TG(14:0_35:2),"HMDB0042108, HMDB0042572",0.1404,1.8886,1.1062
TG(14:0_36:1),"HMDB0042074, HMDB0042132, HMDB0042160, HMDB0042161, HMDB0042189, HMDB0042218, HMDB0042276, HMDB0042305, HMDB0042334, HMDB0042364, HMDB0042393, HMDB0042451",0.0269,2.5216,4.5682
TG(14:0_36:2),"HMDB0042081, HMDB0042138, HMDB0042166, HMDB0042284, HMDB0042312, HMDB0042340, HMDB0042341, HMDB0042370, HMDB0042371, HMDB0042399, HMDB0042458, HMDB0042514, HMDB0042573",0.1184,9.9465,15.8493
TG(14:0_36:3),"HMDB0042133, HMDB0042139, HMDB0042167, HMDB0042174, HMDB0042291, HMDB0042318, HMDB0042346, HMDB0042376, HMDB0042423, HMDB0042520, HMDB0042521, HMDB0042544, HMDB0042579, HMDB0042603, HMDB0042668, HMDB0042754",0.0355,10.0397,18.4199
TG(14:0_36:4),"HMDB0042082, HMDB0042140, HMDB0042146, HMDB0042175, HMDB0042313, HMDB0042319, HMDB0042347, HMDB0042354, HMDB0042377, HMDB0042384, HMDB0042429, HMDB0042526, HMDB0042550, HMDB0042551, HMDB0042609, HMDB0042633, HMDB0042691, HMDB0042760, HMDB0042761, HMDB0042784, HMDB0042813",0.0325,4.4026,8.1485
TG(14:0_38:4),"HMDB0042142, HMDB0042170, HMDB0042176, HMDB0042205, HMDB0042343, HMDB0042349, HMDB0042373, HMDB0042379, HMDB0042407, HMDB0042414, HMDB0042430, HMDB0042431, HMDB0042528, HMDB0042552, HMDB0042586, HMDB0042610, HMDB0042611, HMDB0042634, HMDB0042693, HMDB0042762, HMDB0042785, HMDB0042814",0.0324,0.4249,0.589
TG(14:0_38:5),"HMDB0042143, HMDB0042148, HMDB0042177, HMDB0042322, HMDB0042350, HMDB0042356, HMDB0042380, HMDB0042386, HMDB0042415, HMDB0042436, HMDB0042523, HMDB0042529, HMDB0042558, HMDB0042587, HMDB0042594, HMDB0042616, HMDB0042640, HMDB0042641, HMDB0042699, HMDB0042723, HMDB0042768, HMDB0042792, HMDB0042820, HMDB0042821, HMDB0042844, HMDB0042873",0.0277,0.2399,0.4614
TG(16:0_28:1),HMDB0043834,0.0983,1.803,3.5971
TG(16:0_30:2),"HMDB0044031, HMDB0044058",0.0764,1.9901,3.5406
